Designator,Mid X,Mid Y,Rotation,Layer
R18,90.17,-67.31,180.0,top
R19,70.35,-68.58,180.0,top
R2,70.485,-122.555,180.0,bottom
R20,99.06,-121.92,270.0,top
R21,104.775,-123.19,0.0,top
R22,106.045,-127.0,0.0,top
R23,106.045,-128.27,0.0,top
R24,106.045,-129.54,0.0,top
R25,106.045,-130.81,0.0,top
R26,106.045,-132.08,0.0,top
R27,106.045,-133.35,0.0,top
R28,113.665,-125.095,270.0,bottom
R29,58.42,-97.79,270.0,top
R3,127.635,-111.76,90.0,bottom
R30,59.6965,-97.155,270.0,top
R31,59.69,-95.25,90.0,top
R32,58.42,-94.615,90.0,top
R33,92.71,-139.954,0.0,bottom
R34,105.41,-114.935,180.0,top
R35,104.775,-120.015,180.0,top
R36,122.51,-124.79,270.0,top
R37,99.07,-103.815,180.0,top
R38,105.671,-42.04,270.0,top
R39,104.671,-42.04,270.0,top
R4,146.7743,-156.581,0.0,top
R40,63.755,-112.61,270.0,bottom
R41,63.73,-112.64,90.0,top
R42,53.705,-148.59,90.0,top
R43,61.98,-118.86,0.0,bottom
R44,116.586,-128.651,0.0,bottom
R45,126.492,-135.382,90.0,top
R46,116.586,-127.381,0.0,bottom
R47,53.705,-146.685,90.0,top
R48,131.7815,-128.707,270.0,top
R49,131.7815,-131.707,90.0,top
R5,141.4403,-156.581,180.0,top
R50,129.375,-117.653,270.0,top
R51,65.445,-87.63,180.0,top
R52,60.92,-129.54,0.0,top
R53,130.875,-106.423,0.0,top
R54,74.93,-147.32,90.0,top
R55,74.93,-152.4,90.0,top
R56,74.93,-157.475,90.0,top
R57,74.93,-145.415,90.0,top
R58,74.93,-150.495,90.0,top
R59,134.7815,-135.207,90.0,top
R6,111.125,-156.591,0.0,top
R60,136.0315,-135.207,90.0,top
R61,135.7815,-139.207,180.0,top
R62,135.7815,-137.707,180.0,top
R63,74.93,-155.575,90.0,top
R64,81.28,-152.4,0.0,top
R65,81.28,-147.32,0.0,top
R66,112.014,-94.234,180.0,top
R67,134.1965,-94.204,0.0,top
R68,73.025,-133.985,0.0,top
R69,71.12,-133.985,180.0,top
R7,105.918,-156.591,180.0,top
R70,80.645,-128.25,270.0,top
R71,80.645,-126.365,90.0,top
R72,64.75,-126.75,90.0,top
R73,64.75,-128.7,270.0,top
R74,125.73,-110.49,0.0,top
R75,126.365,-109.22,0.0,top
R76,127.635,-110.49,180.0,top
R77,90.17,-126.365,90.0,top
R78,95.885,-126.365,0.0,top
R79,90.17,-121.92,90.0,top
R8,90.17,-128.27,90.0,top
R80,90.17,-120.015,90.0,top
R81,95.885,-120.015,0.0,top
R82,90.17,-115.57,90.0,top
R83,90.17,-113.665,90.0,top
R84,95.885,-113.75,0.0,top
R9,128.625,-109.173,0.0,bottom
RST2,50.165,-81.915,0.0,top
RST3,53.34,-139.7,0.0,top
T1,131.0995,-133.262,90.0,bottom
TST-R1,126.375,-114.3,90.0,bottom
TST-R10,74.295,-87.63,0.0,bottom
TST-R11,66.675,-125.095,0.0,bottom
TST-R12,118.745,-117.475,90.0,bottom
TST-R13,63.845,-96.635,0.0,top
TST-R14,107.671,-45.79,270.0,top
TST-R15,92.075,-156.845,90.0,top
TST-R16,62.23,-118.11,270.0,top
TST-R17,53.34,-151.13,270.0,top
TST-R18,60.98,-116.11,0.0,top
TST-R19,97.9295,-152.4,0.0,bottom
TST-R2,132.875,-106.923,90.0,bottom
TST-R20,85.725,-78.613,90.0,top
TST-R21,142.875,-77.47,0.0,bottom
TST-R22,81.28,-148.59,0.0,top
TST-R23,81.28,-153.67,0.0,top
TST-R24,81.28,-158.75,180.0,top
TST-R25,128.905,-149.225,0.0,bottom
TST-R26,88.265,-78.613,180.0,top
TST-R27,147.32,-83.185,180.0,bottom
TST-R28,115.951,-90.678,90.0,top
TST-R29,127.4765,-103.244,270.0,top
TST-R3,147.32,-146.685,0.0,bottom
TST-R30,89.535,-130.175,180.0,top
TST-R31,89.5,-124.0,180.0,top
TST-R32,89.5,-117.75,180.0,top
TST-R33,76.835,-121.285,180.0,bottom
TST-R4,111.76,-146.939,0.0,bottom
TST-R5,85.4456,-84.6328,90.0,top
TST-R6,102.87,-59.69,90.0,top
TST-R7,92.075,-67.945,90.0,top
TST-R8,95.885,-66.04,180.0,top
TST-R9,95.885,-60.96,180.0,top
U1,131.125,-111.423,180.0,bottom
U10,92.71,-137.795,180.0,top
U11,97.409,-43.265,270.0,top
U12,91.44,-151.765,270.0,top
U13,99.07,-107.315,180.0,top
U14,127.0,-151.13,180.0,top
U15,58.73,-118.0376,270.0,bottom
U16,88.24425,-80.01,0.0,bottom
U17,147.06325,-80.645,180.0,bottom
